file,title,tags,description,height,width,depth,dimension,medium,price,rank,hide,year,on,etsy link
giraffeflat.jpg,Giraffe Flat,Animal,Basic Painting of a Giraffe,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
lake.jpg,Lake,Landscape,Landscape Commission,,,, x  x in,Acrylic,Unavalible,,0,,Canvas,
posty.jpg,Post Malone as the Postman,Portrait Recreation,Painting of Post Malone as the Postman by Van Gogh,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
seahorse.jpg,Seahorse,Animal,Painting of a Seahorse,,,, x  x in,Acrylic,Unavalible,,0,,Canvas,
tea.jpg,Bubble Tea,Colorful,Pop painting of a colorful teapot,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
texturearea.jpg,Foilage,Landscape,Impasto painting of Pullen Park foilage,,,, x  x in,Acrylic and Modeling Paste,Avalible,,0,,Canvas,
turkeyvulture.jpg,Turkey Vulture I,tag78,Painting of a turkey vulture,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
turkeyvulture.jpg,Turkey Vulture II,tag79,Painting of a turkey vulture,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
abstractwave.jpg,Abstract Wave,Abstract Colorful,Abstract painting of a wave,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
birdboy.jpg,Bird Boy,Portrait,Sketch of sculpture in Dorothea Dix Park,,,, x  x in,Marker,Avalible,,0,,Canvas,
boomer.jpg,Boomer,Animal,Painting of my dog Boomer a blue myrtle Australian Shepard,,,, x  x in,Acrylic,Unavalible,,0,,Canvas,
cow.jpg,Cow,Animal,Painting of a cute cow,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
creepyfaces.jpg,Creepy Faces,None,Lineart of creepy faces,,,, x  x in,Pen,Avalible,,0,,Canvas,
cyclops.jpg,Cyclops Woman,Figure Colorful,Colorful painting of a cyclops woman,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
